row.names	Family	Order	Class	Phylum	Kingdom
Archaea;Methanococci_Eury;Methanocaldococcaceae	unclassified	unclassified	Methanocaldococcaceae	MethanococciEury	Archaea
Archaea;Methanomicrobia_Eury;Methanosarcinales;HydBeg134	unclassified	HydBeg134	Methanosarcinales	MethanomicrobiaEury	Archaea
Archaea;NO27FW	unclassified	unclassified	unclassified	NO27FW	Archaea
Archaea;pISA1	unclassified	unclassified	unclassified	pISA1	Archaea
Archaea;Thaumarchaeota;Cenarchaeales;Cenarchaeum;pIVWA5	pIVWA5	Cenarchaeum	Cenarchaeales	Thaumarchaeota	Archaea
Archaea;Thaumarchaeota;Cenarchaeales;Cenarchaeum	unclassified	Cenarchaeum	Cenarchaeales	Thaumarchaeota	Archaea
Bacteria;Actinobacteria;Acidimicrobidae;koll13;OM1	OM1	koll13	Acidimicrobidae	Actinobacteria	Bacteria
Bacteria;Actinobacteria;Acidimicrobidae;Microthrixineae	unclassified	Microthrixineae	Acidimicrobidae	Actinobacteria	Bacteria
Bacteria;Bacteroidetes;Bacteroidales	unclassified	unclassified	Bacteroidales	Bacteroidetes	Bacteria
Bacteria;Bacteroidetes;Bacteroidales;VC21_Bac22	unclassified	VC21_Bac22	Bacteroidales	Bacteroidetes	Bacteria
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	unclassified	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Bacteria;Proteobacteria;Alphaproteobacteria;TSBb13	unclassified	TSBb13	Alphaproteobacteria	Proteobacteria	Bacteria
Bacteria;Proteobacteria;Deltaproteobacteria;Bacteriovora	unclassified	Bacteriovorax	Deltaproteobacteria	Proteobacteria	Bacteria
Bacteria;Proteobacteria;Gammaproteobacteria;Arctic96B-1	unclassified	Arctic96B-1	Gammaproteobacteria	Proteobacteria	Bacteria
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28	unclassified	B2M28	Gammaproteobacteria	Proteobacteria	Bacteria
Bacteria	unclassified	unclassified	unclassified	unclassified	Bacteria
Bacteria;Proteobacteria	unclassified	unclassified	unclassified	Proteobacteria	Bacteria
Bacteria;Bacteroidetes	unclassified	unclassified	unclassified	Bacteroidetes	Bacteria
Bacteria;Actinobacteria	unclassified	unclassified	unclassified	Actinobacteria	Bacteria
